"Gene.Name","EV-R1","EV-R2","EV-R3","KO-R1","KO-R2","KO-R3"
"CAPZB",19,22,13,4,18,12
"LINC01724",1,0,0,1,1,0
"LINC01724",0,1,0,0,0,0
"LINC01724",0,0,0,0,1,1
"MICOS10",37,56,28,26,29,25
"MIR4735",7,8,13,8,8,3
"MIR4735",15,8,9,7,8,12
"KCNT2",3,7,5,1,3,2
"CFHR4",0,0,0,0,0,1
"ASPM",94,55,82,73,59,49
"ASPM",19,10,17,15,22,18
"ZBTB41",14,16,7,8,9,8
"CRB1",1,1,2,1,0,0
"DENND1B",8,3,4,1,4,1
"C1orf53",39,45,43,34,60,39
"TMCO4",0,1,1,0,1,0
"NEK7",24,16,22,23,12,12
"MIR181A1HG",71,70,65,59,71,44
"MIR181A1HG",117,94,120,90,88,79
"MIR181A1HG",115,118,123,106,97,113
"MIR181A1HG",69,73,63,52,39,42
"LINC02789",0,0,1,1,0,0
"LINC02789",1,0,0,1,1,0
"LINC02789",6,7,5,4,13,5
"NR5A2",0,1,1,2,2,1
"NR5A2",0,0,0,0,0,0
"NR5A2",0,0,0,0,0,1
"NR5A2",22,14,22,13,14,16
"NR5A2",46,42,36,46,34,24
"NR5A2",49,56,59,56,34,48
"NR5A2",50,32,44,43,39,44
"LINC00862",4,3,1,5,4,1
"LINC00862",2,1,2,10,7,7
"LINC00862",9,4,3,11,4,6
"LINC00862",2,1,4,11,3,7
"LINC00862",2,1,3,9,4,6
"LINC00862",12,5,9,20,18,20
"LINC00862",10,9,10,21,18,11
"LINC00862",14,9,8,17,10,9
"ZNF281",29,39,23,22,43,24
"ZNF281",73,61,64,77,49,75
"ZNF281",26,24,24,34,21,20
"KIF14",21,20,16,16,17,8
"DDX59-AS1",31,27,23,15,12,21
"CAMSAP2",60,57,49,40,18,33
"INAVA",33,54,41,24,19,23
"INAVA",21,22,13,18,11,12
"INAVA",8,11,20,16,14,8
"TMEM9",11,6,9,17,18,10
"LAD1",20,8,21,10,10,4
"IPO9",137,116,111,97,88,101
"MIR6739",448,424,431,322,352,312
"MIR6739",24,23,22,22,23,16
"TIMM17A",4,2,3,7,1,6
"RNPEP",150,105,123,93,91,64
"ELF3",36,35,30,30,26,31
"ELF3",3,3,1,3,2,2
"ELF3",1,2,0,0,1,0
"GPR37L1",0,0,1,1,0,0
"GPR37L1",1,2,1,1,0,2
"ARL8A",56,56,55,30,40,30
"UBE2T",5,0,5,1,2,1
"PPP1R12B",6,3,5,6,5,9
"PPP1R12B",6,10,6,8,3,2
"KDM5B",12,6,8,9,8,6
"PCAT6",1,0,1,1,0,0
"RABIF",70,71,67,55,73,55
"KLHL12",28,21,29,11,29,19
"ADIPOR1",23,15,9,25,27,17
"LOC100506747",46,34,28,24,24,27
"LINC01353",0,0,0,1,0,1
"LINC01136",0,0,1,2,0,0
"BTG2",1,0,0,0,0,1
"ATP2B4",0,0,0,0,2,0
"ZC3H11A",81,52,66,50,59,61
"SNRPE",125,155,114,131,153,102
"SOX13",73,58,45,60,41,41
"SOX13",3,14,7,8,12,15
"SOX13",8,5,4,6,3,7
"SOX13",10,6,9,7,13,10
"GOLT1A",43,43,39,63,67,43
"GOLT1A",7,2,5,7,3,2
"GOLT1A",6,9,12,3,4,10
"PPP1R15B",57,51,59,48,54,39
"PPP1R15B",1,1,1,0,1,0
"PIK3C2B",55,41,34,24,24,18
"MDM4",17,27,17,22,13,10
"CAMK2N1",0,0,0,0,0,0
"CAMK2N1",2,1,0,2,0,1
"LOC105378591",3,1,0,3,1,1
"RBBP5",2,1,2,0,1,0
"DSTYK",4,3,2,2,2,2
"TMCC2",0,0,1,0,1,0
"NUAK2",0,1,1,0,1,1
"NUAK2",0,0,0,0,1,0
"NUAK2",1,1,3,2,0,1
"NUAK2",8,2,12,10,11,13
"NUAK2",20,21,14,10,11,9
"ELK4",3,3,1,2,5,4
"NUCKS1",28,18,22,12,15,7
"EIF2D",45,35,37,33,41,29
"PIGR",0,1,0,2,0,0
"C1orf116",9,9,3,12,10,6
"C1orf116",9,7,9,10,15,12
"YOD1",35,13,35,25,32,27
"C4BPB",8,2,11,23,22,11
"C4BPA",0,0,0,1,0,1
"C4BPA",0,0,0,1,2,4
"CD46",65,68,60,55,50,59
"MIR29B2CHG",6,3,6,1,0,6
"HP1BP3",4,2,6,3,2,4
"CD34",1,0,0,0,0,1
"PLXNA2",1,3,2,0,4,1
"PLXNA2",1,2,1,3,2,2
"MIR1256",4,5,5,6,2,2
"HHAT",11,6,8,3,5,3
"HHAT",68,59,58,135,181,161
"RCOR3",2,2,3,3,1,4
"RCOR3",7,15,19,7,5,10
"LINC00467",7,17,16,10,15,10
"SLC30A1",4,4,5,1,5,9
"LOC91548",34,37,30,30,36,40
"EIF4G3",35,27,23,25,14,15
"LPGAT1",41,26,29,17,29,27
"LPGAT1-AS1",0,0,3,0,2,0
"LPGAT1-AS1",0,0,0,3,2,3
"LPGAT1-AS1",0,0,0,0,1,1
"LPGAT1-AS1",0,0,0,0,0,0
"DTL",214,200,157,197,170,210
"DTL",78,63,69,42,64,39
"LINC02608",1,0,0,0,0,0
"LINC02608",0,0,1,0,0,2
"PPP2R5A",3,4,3,0,3,5
"NENF",60,42,45,31,41,46
"ECE1",9,6,1,1,3,1
"ATF3",0,0,2,5,1,0
"ATF3",0,1,0,0,0,0
"TATDN3",4,5,1,2,3,8
"FLVCR1-DT",5,3,3,3,3,4
"ANGEL2",28,27,15,25,15,12
"RPS6KC1",24,19,11,15,12,18
"RPS6KC1",8,13,11,11,3,8
"RPS6KC1",8,3,0,4,10,2
"RPS6KC1",5,3,1,1,0,2
"LINC00538",1,1,0,2,1,1
"LINC00538",0,0,0,0,0,0
"LINC00538",0,0,0,0,0,0
